"Name","Path","Kind","LinkType","Target","TargetExists","OneDriveBacked","HasSkillMd"
"gmail-inbox-triage","C:\Users\DaveWitkin\.opencode-lazy-vault\gmail-inbox-triage","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\gmail-inbox-triage","True","True","True"
"gmail-workspace","C:\Users\DaveWitkin\.opencode-lazy-vault\gmail-workspace","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\gmail-workspace","True","True","True"
"google-calendar-schedule","C:\Users\DaveWitkin\.opencode-lazy-vault\google-calendar-schedule","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\google-calendar-schedule","True","True","True"
"google-calendar-today","C:\Users\DaveWitkin\.opencode-lazy-vault\google-calendar-today","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\google-calendar-today","True","True","True"
"google-contacts","C:\Users\DaveWitkin\.opencode-lazy-vault\google-contacts","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\google-contacts","True","True","True"
"google-drive","C:\Users\DaveWitkin\.opencode-lazy-vault\google-drive","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\google-drive","True","True","True"
"handoff-deep","C:\Users\DaveWitkin\.opencode-lazy-vault\handoff-deep","realfolder",,,"False","False","True"
"handoff-quick","C:\Users\DaveWitkin\.opencode-lazy-vault\handoff-quick","realfolder",,,"False","False","True"
"image-generator","C:\Users\DaveWitkin\.opencode-lazy-vault\image-generator","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\image-generator","True","True","True"
"image-manifest-builder","C:\Users\DaveWitkin\.opencode-lazy-vault\image-manifest-builder","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\image-manifest-builder","True","True","True"
"image-ocr","C:\Users\DaveWitkin\.opencode-lazy-vault\image-ocr","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\image-ocr","True","True","True"
"imagegen","C:\Users\DaveWitkin\.opencode-lazy-vault\imagegen","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\imagegen","True","True","True"
"knowledge-graph-builder","C:\Users\DaveWitkin\.opencode-lazy-vault\knowledge-graph-builder","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\knowledge-graph-builder","True","True","True"
"knowledge-graph-maintainer","C:\Users\DaveWitkin\.opencode-lazy-vault\knowledge-graph-maintainer","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\knowledge-graph-maintainer","True","True","True"
"knowledge-graph-query","C:\Users\DaveWitkin\.opencode-lazy-vault\knowledge-graph-query","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\knowledge-graph-query","True","True","True"
"markdown-pdf-publisher","C:\Users\DaveWitkin\.opencode-lazy-vault\markdown-pdf-publisher","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\markdown-pdf-publisher","True","True","True"
"markdown-render","C:\Users\DaveWitkin\.opencode-lazy-vault\markdown-render","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\markdown-render","True","True","True"
"microsoft-graph","C:\Users\DaveWitkin\.opencode-lazy-vault\microsoft-graph","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\microsoft-graph","True","True","True"
"nlm-skill","C:\Users\DaveWitkin\.opencode-lazy-vault\nlm-skill","realfolder",,,"False","False","True"
"notebooklm-cli","C:\Users\DaveWitkin\.opencode-lazy-vault\notebooklm-cli","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\notebooklm-cli","True","True","True"
"notebooklm-meta-prompt","C:\Users\DaveWitkin\.opencode-lazy-vault\notebooklm-meta-prompt","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\notebooklm-meta-prompt","True","True","True"
"opencode-scheduler","C:\Users\DaveWitkin\.opencode-lazy-vault\opencode-scheduler","junction","Junction","C:\Users\DaveWitkin\.config\opencode\skill\opencode-scheduler","True","False","True"
"osgrep","C:\Users\DaveWitkin\.opencode-lazy-vault\osgrep","junction","Junction","C:\Users\DaveWitkin\.config\opencode\skill\osgrep","True","False","True"
"outlook-email-search","C:\Users\DaveWitkin\.opencode-lazy-vault\outlook-email-search","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\outlook-email-search","True","True","True"
"outlook-inbox-triage","C:\Users\DaveWitkin\.opencode-lazy-vault\outlook-inbox-triage","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\outlook-inbox-triage","True","True","True"
"pa-ui-design","C:\Users\DaveWitkin\.opencode-lazy-vault\pa-ui-design","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\pa-ui-design","True","True","True"
"perplexity-search","C:\Users\DaveWitkin\.opencode-lazy-vault\perplexity-search","junction","Junction","C:\Users\DaveWitkin\.config\opencode\skill\perplexity-search","True","False","True"
"playwright-interactive","C:\Users\DaveWitkin\.opencode-lazy-vault\playwright-interactive","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\playwright-interactive","True","True","True"
"powershell-master","C:\Users\DaveWitkin\.opencode-lazy-vault\powershell-master","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\powershell-master","True","True","True"
"pptx-to-pdf-converter","C:\Users\DaveWitkin\.opencode-lazy-vault\pptx-to-pdf-converter","realfolder",,,"False","False","True"
"retrospective","C:\Users\DaveWitkin\.opencode-lazy-vault\retrospective","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\retrospective","True","True","True"
"root-cause-analysis","C:\Users\DaveWitkin\.opencode-lazy-vault\root-cause-analysis","realfolder",,,"False","False","True"
"scheduled-job-best-practices","C:\Users\DaveWitkin\.opencode-lazy-vault\scheduled-job-best-practices","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\scheduled-job-best-practices","True","True","True"
"skill-creator","C:\Users\DaveWitkin\.opencode-lazy-vault\skill-creator","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\skill-creator","True","True","True"
"skill-discovery","C:\Users\DaveWitkin\.opencode-lazy-vault\skill-discovery","junction","Junction","C:\Users\DaveWitkin\.config\opencode\skill\skill-discovery","True","False","True"
"skill-test-harness","C:\Users\DaveWitkin\.opencode-lazy-vault\skill-test-harness","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\skill-test-harness","True","True","True"
"slack-messaging","C:\Users\DaveWitkin\.opencode-lazy-vault\slack-messaging","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\slack-messaging","True","True","True"
"slack-send-message","C:\Users\DaveWitkin\.opencode-lazy-vault\slack-send-message","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\slack-send-message","True","True","True"
"speech","C:\Users\DaveWitkin\.opencode-lazy-vault\speech","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\speech","True","True","True"
"terminal-aliases","C:\Users\DaveWitkin\.opencode-lazy-vault\terminal-aliases","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\terminal-aliases","True","True","True"
"thinking-partner","C:\Users\DaveWitkin\.opencode-lazy-vault\thinking-partner","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\thinking-partner","True","True","True"
"unified-calendar-today","C:\Users\DaveWitkin\.opencode-lazy-vault\unified-calendar-today","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\unified-calendar-today","True","True","True"
"vercel-deploy","C:\Users\DaveWitkin\.opencode-lazy-vault\vercel-deploy","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\vercel-deploy","True","True","True"
"visual-ocr","C:\Users\DaveWitkin\.opencode-lazy-vault\visual-ocr","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\visual-ocr","True","True","True"
"webapp-testing","C:\Users\DaveWitkin\.opencode-lazy-vault\webapp-testing","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\webapp-testing","True","True","True"
"windows-task-scheduler","C:\Users\DaveWitkin\.opencode-lazy-vault\windows-task-scheduler","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\windows-task-scheduler","True","True","True"
"youtube-shorts","C:\Users\DaveWitkin\.opencode-lazy-vault\youtube-shorts","junction","Junction","C:\Users\DaveWitkin\OneDrive - Packaged Agile\Documents\development-config\.opencode-lazy-vault\youtube-shorts","True","True","True"
